Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2	mapq10	0.0	82
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2	mapq10	0.0	501
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2	mapq10	0.0	98
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2	mapq10	0.0	30
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2	mapq10	0.0	799
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2	mapq10	0.0	43
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	2	bowtie2	mapq10	0.0	4
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	3	bowtie2	mapq10	0.0	2
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	4	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	5	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	6	bowtie2	mapq10	0.0	62
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	7	bowtie2	mapq10	0.0	131
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	8	bowtie2	mapq10	0.0	86
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_1	9	bowtie2	mapq10	0.0	7
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	1	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	2	bowtie2	mapq10	0.0	1045
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	3	bowtie2	mapq10	0.0	828
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	4	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	5	bowtie2	mapq10	0.0	12
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	6	bowtie2	mapq10	0.0	39
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	7	bowtie2	mapq10	0.0	25
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	8	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_2	9	bowtie2	mapq10	0.0	6
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2	mapq10	0.0	21
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	1	bowtie2	mapq10	0.0	9
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	2	bowtie2	mapq10	0.0	284
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	3	bowtie2	mapq10	0.0	4
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	4	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	5	bowtie2	mapq10	0.0	1701
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	6	bowtie2	mapq10	0.0	1
