alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
single	single	incorrect	234	quantMtRNAseq_Cerebellum_tRNA_3	2	shrimp
multiple	single	correct	226847	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2
multiple	single	incorrect	324	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2
multiple	multiple	incorrect	67811	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2
single	single	correct	651752	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2
single	single	incorrect	1975	quantMtRNAseq_Cerebellum_tRNA_3	3	bowtie2
multiple	single	correct	180828	quantMtRNAseq_Cerebellum_tRNA_3	3	shrimp
multiple	single	incorrect	103	quantMtRNAseq_Cerebellum_tRNA_3	3	shrimp
multiple	multiple	incorrect	4704	quantMtRNAseq_Cerebellum_tRNA_3	3	shrimp
single	single	correct	529064	quantMtRNAseq_Cerebellum_tRNA_3	3	shrimp
single	single	incorrect	128	quantMtRNAseq_Cerebellum_tRNA_3	3	shrimp
single	single	correct	78239	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2
single	single	incorrect	2882	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2
multiple	single	correct	483933	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2
multiple	single	incorrect	141	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2
multiple	multiple	incorrect	409240	quantMtRNAseq_Cerebellum_tRNA_3	4	bowtie2
multiple	single	correct	478041	quantMtRNAseq_Cerebellum_tRNA_3	4	shrimp
multiple	single	incorrect	115	quantMtRNAseq_Cerebellum_tRNA_3	4	shrimp
multiple	multiple	incorrect	853	quantMtRNAseq_Cerebellum_tRNA_3	4	shrimp
single	single	correct	52714	quantMtRNAseq_Cerebellum_tRNA_3	4	shrimp
single	single	incorrect	29	quantMtRNAseq_Cerebellum_tRNA_3	4	shrimp
single	single	correct	629637	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2
single	single	incorrect	2125	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2
multiple	multiple	incorrect	42043	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2
multiple	single	correct	241673	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2
multiple	single	incorrect	555	quantMtRNAseq_Cerebellum_tRNA_3	5	bowtie2
single	single	correct	319320	quantMtRNAseq_Cerebellum_tRNA_3	5	shrimp
single	single	incorrect	242	quantMtRNAseq_Cerebellum_tRNA_3	5	shrimp
multiple	multiple	incorrect	3612	quantMtRNAseq_Cerebellum_tRNA_3	5	shrimp
multiple	single	correct	118406	quantMtRNAseq_Cerebellum_tRNA_3	5	shrimp
multiple	single	incorrect	229	quantMtRNAseq_Cerebellum_tRNA_3	5	shrimp
