Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	8	24	24	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_2	9	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	0	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	1	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	2	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	3	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	4	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	5	6128	6077	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	6	57	55	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	7	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	8	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_0_3	9	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	0	7	7	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	1	9	8	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	2	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	3	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	4	50	49	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	5	4	4	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	7	71	70	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	8	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_1	9	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	0	83	79	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	1	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	2	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	3	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	4	51	50	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	5	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	6	30	29	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	7	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	8	51	51	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_2	9	17	17	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	0	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	1	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	2	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	3	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	4	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	5	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	7	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	8	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Arg-TCG	ALLtRNAseq_hESC_5_3	9	87	86	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	0	92	89	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	1	6	6	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	2	6	5	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	3	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	4	45	45	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	5	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	6	1	1	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	7	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	8	90	89	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_1	9	0	0	mimseq	mimseq
